input_file,n_groups,chunk_size,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd
corpora/elements_pp/e10_pp_wostw.txt,8,39,0.6258989709191011,0.3786008230452674897119341564,0.6076817558299039780521262003,0.4636488340192043895747599451,1
corpora/elements_pp/e10_pp_wostw.txt,8,78,0.6897324699607048,0.4183813443072702331961591221,0.6076817558299039780521262003,0.4444444444444444444444444444,1
corpora/elements_pp/e10_pp_wostw.txt,8,117,0.6641805084502642,0.6021947873799725651577503429,0.6076817558299039780521262003,0.9163237311385459533607681756,1
corpora/elements_pp/e10_pp_wostw.txt,8,156,0.7420412483988806,0.5925925925925925925925925926,0.6076817558299039780521262003,0.8765432098765432098765432099,1
corpora/elements_pp/e10_pp_wostw.txt,8,195,0.5276564264363848,0.6076817558299039780521262003,0.6076817558299039780521262003,0.9972565157750342935528120713,1
corpora/elements_pp/e10_pp_wostw.txt,8,234,0.5115073670826995,0.6982167352537722908093278464,0.6076817558299039780521262003,0.8998628257887517146776406036,1
corpora/elements_pp/e10_pp_wostw.txt,8,273,0.45211840027660216,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,312,0.5050325162316988,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,351,0.320635428812295,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,390,0.31322681494525634,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,429,0.2507468955551522,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,468,0.27029517122178115,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,507,0.23177574574780868,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,546,0.21711318418621267,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,585,0.2504324531556557,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,624,0.26917877731836076,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,663,0.19953423885151372,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,702,0.13141905752433708,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,741,0.07315564300596264,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
corpora/elements_pp/e10_pp_wostw.txt,8,778,0.018856136213341975,0.6076817558299039780521262003,0.6076817558299039780521262003,1,1
